gameSlug,videoSrc,imgSrc,url,name,score,type
residence-of-evil,https://videos.crazygames.com/residence-of-evil.mp4,"https://images.crazygames.com/residence-of-evil.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/residence-of-evil,"
Residence of Evil ","
9.1 ",shooting
battle-swat-vs-mercenary,https://videos.crazygames.com/battle-swat-vs-mercenary.mp4,"https://images.crazygames.com/battleswatvsmercenaryb.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/battle-swat-vs-mercenary,"
Battle S.W.A.T vs Mercenary ","
9.2 ",shooting
paintball-wars,https://videos.crazygames.com/paintball-wars/1/paintball-wars-180x111.mp4,"https://images.crazygames.com/paintballwars.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/paintball-wars,"
Paintball Wars ","
9.3 ",shooting
star-wars-rebels-strike-missions,https://videos.crazygames.com/star-wars-rebels-strike-missions.mp4,"https://images.crazygames.com/starwarsrebelsstrikemissions.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",http://www.crazygames.com/game/star-wars-rebels-strike-missions,"
Star Wars Rebels: Strike Missions ","
8.9 ",shooting
slendrina-must-die-the-forest,https://videos.crazygames.com/slendrina-must-die-the-forest.mp4,"https://images.crazygames.com/slendrinamustdietheforest.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/slendrina-must-die-the-forest,"
Slendrina Must Die: The Forest ","
9.0 ",shooting
slendrina-must-die-the-house,https://videos.crazygames.com/slendrina-must-die-the-house.mp4,"https://images.crazygames.com/slendrinamustdiethehouse.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/slendrina-must-die-the-house,"
Slendrina Must Die: The House ","
8.8 ",shooting
humanity-is-dead,https://videos.crazygames.com/humanity-is-dead.mp4,"https://images.crazygames.com/humanityisdead.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/humanity-is-dead,"
Humanity Is Dead ","
9.1 ",shooting
wasteland-warriors,https://videos.crazygames.com/wasteland-warriors-trimmed.mp4,"https://images.crazygames.com/wastelandwarriors.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",http://www.crazygames.com/game/wasteland-warriors,"
Wasteland Warriors ","
9.0 ",shooting
air-strike-warfare-2017,https://videos.crazygames.com/air-strike-warfare-2017.mp4,"https://images.crazygames.com/airstrikewarfare2017.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",http://www.crazygames.com/game/air-strike-warfare-2017,"
Air Strike Warfare 2017 ","
8.9 ",shooting
military-wars-strike,https://videos.crazygames.com/military-wars-strike.mp4,"https://images.crazygames.com/militarywarsstrike.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/military-wars-strike,"
Military Wars Strike ","
9.1 ",shooting
